Dataset,Start,Peeked,DINO SFT,MixMatch,Delulu,Panopticon,OlmoEarth
reBEN,S2-RGB,S1,63.37,52.08±6.38,65.15,59.99,59.70
reBEN,S2-RGB,S2-noRGB,63.37,52.08±6.38,67.26,59.99,59.70
reBEN,S1,S2,49.23,47.70±2.23,51.19,55.06,54.05
reBEN,S2,S1,61.28,59.49±2.29,63.71,62.10,65.14
DFC2020,S2-RGB,S1,41.90,39.10±3.35,47.04,45.50,49.72
DFC2020,S2-RGB,S2-noRGB,41.90,39.10±3.35,47.71,45.50,49.72
DFC2020,S1,S2,43.29,35.36±2.81,45.30,48.09,47.40
DFC2020,S2,S1,45.12,40.05±3.66,45.63,50.48,52.08
EuroSAT,RGB,NIR,98.63,98.98±0.06,98.78,98.43,97.69
EuroSAT,RGB,VRE,98.63,98.98±0.06,98.96,98.43,97.69
EuroSAT,RGB,SWIR,98.63,98.98±0.06,--,98.43,97.69
