checkpoint,num_supervised_epochs,starting_modality,supported_modalities,eval_type,real_modality,hallucinated_modality,test_acc,best_test_acc
checkpoints/vre_to_nir.pt,36,vre,vre+nir,delulu-transfer,nir,vre,75.57407407407408,77.03703703703704
checkpoints/vre_to_nir.pt,36,vre,vre+nir,delulu-addition,vre+nir,,89.35185185185185,89.46296296296296
checkpoints/vre_to_nir.pt,36,vre,vre+nir,delulu-peeking,vre,nir,89.31481481481481,89.66666666666667
checkpoints/nir_to_swir.pt,36,nir,nir+swir,delulu-transfer,swir,nir,82.0925925925926,84.11111111111111
checkpoints/nir_to_swir.pt,36,nir,nir+swir,delulu-addition,nir+swir,,83.68518518518519,85.55555555555556
checkpoints/nir_to_swir.pt,36,nir,nir+swir,delulu-peeking,nir,swir,80.18518518518519,80.44444444444444
checkpoints/swir_to_rgb.pt,36,swir,swir+rgb,delulu-transfer,rgb,swir,86.4074074074074,87.0925925925926
checkpoints/swir_to_rgb.pt,36,swir,swir+rgb,delulu-addition,swir+rgb,,88.24074074074075,88.57407407407408
checkpoints/swir_to_rgb.pt,36,swir,swir+rgb,delulu-peeking,swir,rgb,88.22222222222223,88.38888888888889
checkpoints/nir_to_rgb.pt,36,nir,nir+rgb,delulu-transfer,rgb,nir,83.68518518518519,85.07407407407408
checkpoints/nir_to_rgb.pt,36,nir,nir+rgb,delulu-addition,nir+rgb,,83.31481481481481,83.96296296296296
checkpoints/nir_to_rgb.pt,36,nir,nir+rgb,delulu-peeking,nir,rgb,81.4074074074074,81.75925925925925
checkpoints/rgb_to_vre.pt,36,rgb,rgb+vre,delulu-transfer,vre,rgb,96.83333333333333,97.0925925925926
checkpoints/rgb_to_vre.pt,36,rgb,rgb+vre,delulu-addition,rgb+vre,,98.37037037037037,98.62962962962963
checkpoints/rgb_to_vre.pt,36,rgb,rgb+vre,delulu-peeking,rgb,vre,98.44444444444444,98.5
checkpoints/swir_to_nir.pt,36,swir,swir+nir,delulu-transfer,nir,swir,74.61111111111111,75.66666666666667
checkpoints/swir_to_nir.pt,36,swir,swir+nir,delulu-addition,swir+nir,,87.88888888888889,88.57407407407408
checkpoints/swir_to_nir.pt,36,swir,swir+nir,delulu-peeking,swir,nir,88.0925925925926,88.46296296296296
checkpoints/rgb_to_swir.pt,36,rgb,rgb+swir,delulu-transfer,swir,rgb,93.66666666666667,93.88888888888889
checkpoints/rgb_to_swir.pt,36,rgb,rgb+swir,delulu-addition,rgb+swir,,98.24074074074075,98.4074074074074
checkpoints/rgb_to_swir.pt,36,rgb,rgb+swir,delulu-peeking,rgb,swir,98.33333333333333,98.4074074074074
checkpoints/rgb_to_nir.pt,36,rgb,rgb+nir,delulu-transfer,nir,rgb,90.75925925925925,90.85185185185185
checkpoints/rgb_to_nir.pt,36,rgb,rgb+nir,delulu-addition,rgb+nir,,98.51851851851852,98.81481481481481
checkpoints/rgb_to_nir.pt,36,rgb,rgb+nir,delulu-peeking,rgb,nir,98.70370370370371,98.74074074074075
checkpoints/nir_to_vre.pt,36,nir,nir+vre,delulu-transfer,vre,nir,78.72222222222223,80.20370370370371
checkpoints/nir_to_vre.pt,36,nir,nir+vre,delulu-addition,nir+vre,,79.18518518518519,80.38888888888889
checkpoints/nir_to_vre.pt,36,nir,nir+vre,delulu-peeking,nir,vre,79.74074074074075,80.31481481481481
checkpoints/swir_to_vre.pt,36,swir,swir+vre,delulu-transfer,vre,swir,85.25925925925925,87.05555555555556
checkpoints/swir_to_vre.pt,36,swir,swir+vre,delulu-addition,swir+vre,,87.0925925925926,87.9074074074074
checkpoints/swir_to_vre.pt,36,swir,swir+vre,delulu-peeking,swir,vre,87.98148148148148,88.18518518518519
checkpoints/vre_to_rgb.pt,36,vre,vre+rgb,delulu-transfer,rgb,vre,88.25925925925925,88.72222222222223
checkpoints/vre_to_rgb.pt,36,vre,vre+rgb,delulu-addition,vre+rgb,,89.98148148148148,90.33333333333333
checkpoints/vre_to_rgb.pt,36,vre,vre+rgb,delulu-peeking,vre,rgb,89.98148148148148,90.35185185185185
checkpoints/vre_to_swir.pt,36,vre,vre+swir,delulu-transfer,swir,vre,85.74074074074075,86.12962962962963
checkpoints/vre_to_swir.pt,36,vre,vre+swir,delulu-addition,vre+swir,,89.4074074074074,89.46296296296296
checkpoints/vre_to_swir.pt,36,vre,vre+swir,delulu-peeking,vre,swir,89.64814814814815,89.77777777777777
