starting_modality,new_modality,ssl_mode,ssl_lr,fusion_epochs,mask_ratio,modality_dropout,train_components,trainable_params,transfer_acc,peeking_acc,addition_acc,stage0_checkpoint,shote2e_checkpoint
rgb,nir,shot,0.0001,128,0.85,0.4,full,45693076,10.93,11.09,10.74,checkpoints/rgb_fft.pt,checkpoints/rgb_to_nir.pt
vre,nir,shot,0.0001,128,0.85,0.4,full,45693076,18.28,20.28,20.57,checkpoints/vre_fft.pt,checkpoints/vre_to_nir.pt
vre,swir,shot,0.0001,128,0.85,0.4,full,45693076,2.39,2.11,2.06,checkpoints/vre_fft.pt,checkpoints/vre_to_swir.pt
rgb,swir,shot,0.0001,128,0.85,0.4,full,45693076,13.89,14.02,13.67,checkpoints/rgb_fft.pt,checkpoints/rgb_to_swir.pt
nir,rgb,shot,0.0001,128,0.85,0.4,full,45791636,12.96,12.11,12.67,checkpoints/nir_fft.pt,checkpoints/nir_to_rgb.pt
rgb,vre,shot,0.0001,128,0.85,0.4,full,45889940,7.54,7.19,6.81,checkpoints/rgb_fft.pt,checkpoints/rgb_to_vre.pt
vre,rgb,shot,0.0001,128,0.85,0.4,full,45889940,5.87,4.69,4.57,checkpoints/vre_fft.pt,checkpoints/vre_to_rgb.pt
nir,vre,shot,0.0001,128,0.85,0.4,full,45791636,6.04,6.35,6.63,checkpoints/nir_fft.pt,checkpoints/nir_to_vre.pt
swir,rgb,shot,0.0001,128,0.85,0.4,full,45791636,11.46,11.09,11.81,checkpoints/swir_fft.pt,checkpoints/swir_to_rgb.pt
nir,swir,shot,0.0001,128,0.85,0.4,full,45594772,1.81,1.76,1.70,checkpoints/nir_fft.pt,checkpoints/nir_to_swir.pt
swir,nir,shot,0.0001,128,0.85,0.4,full,45594772,15.15,17.11,18.57,checkpoints/swir_fft.pt,checkpoints/swir_to_nir.pt
swir,vre,shot,0.0001,128,0.85,0.4,full,45791636,2.98,3.22,2.93,checkpoints/swir_fft.pt,checkpoints/swir_to_vre.pt
vre,rgb,shot,0.0001,4,0.85,0.4,full,45889940,3.50,4.11,4.33,checkpoints/vre_fft.pt,checkpoints/vre_to_rgb.pt
vre,rgb,shot,0.0001,4,0.85,0.4,full,45889940,60.02,85.61,86.85,checkpoints/vre_fft.pt,checkpoints/vre_to_rgb.pt
vre,rgb,shot,0.0001,16,0.85,0.4,full,45889940,76.43,87.74,88.39,checkpoints/vre_fft.pt,checkpoints/vre_to_rgb.pt
vre,nir,shot,0.0001,32,0.85,0.4,full,45693076,74.59,88.44,89.33,checkpoints/vre_fft.pt,checkpoints/vre_to_nir.pt
nir,vre,shot,0.0001,128,0.85,0.4,full,45791636,79.00,79.67,79.13,checkpoints/nir_fft.pt,checkpoints/nir_to_vre.pt
vre,nir,shot,0.0001,128,0.85,0.4,full,45693076,77.13,89.78,90.44,checkpoints/vre_fft.pt,checkpoints/vre_to_nir.pt
vre,swir,shot,0.0001,128,0.85,0.4,full,45693076,87.56,90.07,90.80,checkpoints/vre_fft.pt,checkpoints/vre_to_swir.pt
nir,rgb,shot,0.0001,128,0.85,0.4,full,45791636,85.26,80.69,81.46,checkpoints/nir_fft.pt,checkpoints/nir_to_rgb.pt
rgb,swir,shot,0.0001,128,0.85,0.4,full,45693076,95.78,98.06,95.31,checkpoints/rgb_fft.pt,checkpoints/rgb_to_swir.pt
rgb,nir,shot,0.0001,128,0.85,0.4,full,45693076,89.50,98.09,98.09,checkpoints/rgb_fft.pt,checkpoints/rgb_to_nir.pt
vre,rgb,shot,0.0001,128,0.85,0.4,full,45889940,89.57,90.19,90.65,checkpoints/vre_fft.pt,checkpoints/vre_to_rgb.pt
rgb,vre,shot,0.0001,128,0.85,0.4,full,45889940,94.89,98.24,95.93,checkpoints/rgb_fft.pt,checkpoints/rgb_to_vre.pt
nir,swir,shot,0.0001,128,0.85,0.4,full,45594772,82.57,79.89,82.28,checkpoints/nir_fft.pt,checkpoints/nir_to_swir.pt
swir,nir,shot,0.0001,128,0.85,0.4,full,45594772,76.74,87.81,87.78,checkpoints/swir_fft.pt,checkpoints/swir_to_nir.pt
swir,vre,shot,0.0001,128,0.85,0.4,full,45791636,87.48,88.50,87.80,checkpoints/swir_fft.pt,checkpoints/swir_to_vre.pt
swir,rgb,shot,0.0001,128,0.85,0.4,full,45791636,88.13,87.26,88.48,checkpoints/swir_fft.pt,checkpoints/swir_to_rgb.pt
