starting_modality,new_modality,ssl_lr,epochs,mask_ratio,modality_dropout,trainable_params,transfer_acc,peeking_acc,addition_acc,addition_ens_acc,stage0_checkpoint,shote2e_checkpoint
rgb,swir,0.0001,128,0.75,0.3,47172628,95.39,98.59,97.31,98.20,checkpoints/rgb_fft.pt,checkpoints/rgb_to_swir.pt
rgb,nir,0.0001,128,0.75,0.3,47172628,88.43,98.83,98.72,98.52,checkpoints/rgb_fft.pt,checkpoints/rgb_to_nir.pt
rgb,vre,0.0001,128,0.75,0.3,47369492,96.20,98.48,98.19,98.48,checkpoints/rgb_fft.pt,checkpoints/rgb_to_vre.pt
vre,nir,0.0001,128,0.75,0.3,47172628,76.39,90.50,90.19,91.31,checkpoints/vre_fft.pt,checkpoints/vre_to_nir.pt
vre,swir,0.0001,128,0.75,0.3,47172628,87.28,90.20,90.52,91.11,checkpoints/vre_fft.pt,checkpoints/vre_to_swir.pt
vre,rgb,0.0001,128,0.75,0.3,47369492,89.76,90.11,91.56,91.93,checkpoints/vre_fft.pt,checkpoints/vre_to_rgb.pt
nir,rgb,0.0001,128,0.75,0.3,47172628,82.76,80.41,81.74,85.22,checkpoints/nir_fft.pt,checkpoints/nir_to_rgb.pt
nir,vre,0.0001,128,0.75,0.3,47172628,81.09,80.30,81.22,81.35,checkpoints/nir_fft.pt,checkpoints/nir_to_vre.pt
swir,nir,0.0001,128,0.75,0.3,46975764,79.35,87.91,87.31,90.65,checkpoints/swir_fft.pt,checkpoints/swir_to_nir.pt
nir,swir,0.0001,128,0.75,0.3,46975764,81.43,81.31,83.20,84.57,checkpoints/nir_fft.pt,checkpoints/nir_to_swir.pt
swir,vre,0.0001,128,0.75,0.3,47172628,87.69,89.54,90.56,91.00,checkpoints/swir_fft.pt,checkpoints/swir_to_vre.pt
swir,rgb,0.0001,128,0.75,0.3,47172628,87.50,87.89,89.00,91.02,checkpoints/swir_fft.pt,checkpoints/swir_to_rgb.pt
