starting_modality,new_modality,ssl_mode,ssl_lr,fusion_epochs,mask_ratio,modality_dropout,supervised_epochs,trainable_component,trainable_params,test_acc_multi,multimodal_gain,test_acc_rgb_single,best_test_acc_rgb,test_acc_newmod_single,best_test_acc_newmod,stage0_checkpoint,shote2e_checkpoint
rgb,vre,shot,0.0001,1,0.75,0.2,1,full,24561024,81.61,+20.54,61.07,61.07,46.94,46.94,checkpoints/evan_eurosat_stage0_rgb_20260121_012101.pt,checkpoints/evan_eurosat_shot_20260121_021501.pt
rgb,vre,shot,0.0001,1,0.75,0.2,1,full,24855936,83.43,+14.06,69.37,69.37,51.30,51.30,checkpoints/evan_eurosat_stage0_rgb_20260121_012101.pt,checkpoints/evan_eurosat_shot_20260121_031354.pt
rgb,vre,shot,0.0001,1,0.75,0.2,1,full,24855936,87.87,+14.65,73.22,73.22,54.15,54.15,checkpoints/evan_eurosat_stage0_rgb_20260121_012101.pt,checkpoints/evan_eurosat_shot_20260121_031800.pt
rgb,vre,shot,0.0001,64,0.75,0.2,16,full,24560256,98.07,+0.19,97.89,97.98,83.30,83.30,checkpoints/evan_eurosat_stage0_rgb_20260121_012101.pt,checkpoints/evan_eurosat_shot_20260121_031908.pt
rgb,vre,shot,0.0001,1,0.75,0.2,1,full,24855936,82.59,+12.04,70.56,70.56,50.06,50.06,checkpoints/evan_eurosat_stage0_rgb_20260121_012101.pt,checkpoints/evan_eurosat_shot_20260121_034438.pt
rgb,vre,shot,0.0001,1,0.75,0.2,1,adaptor,3552384,66.41,+13.78,52.63,52.63,57.74,57.74,checkpoints/evan_eurosat_stage0_rgb_20260121_012101.pt,checkpoints/evan_eurosat_shot_20260121_035727.pt
rgb,vre,shot,0.0001,64,0.75,0.2,16,full,24855936,98.41,+0.07,98.33,98.33,84.81,84.89,checkpoints/evan_eurosat_stage0_rgb_20260121_012101.pt,checkpoints/evan_eurosat_shot_20260121_051441.pt
rgb,vre,shot,0.0001,64,0.75,0.2,16,adaptor,3552384,85.52,+8.69,76.83,77.26,81.67,81.67,checkpoints/evan_eurosat_stage0_rgb_20260121_012101.pt,checkpoints/evan_eurosat_shot_20260121_061349.pt
rgb,vre,shot,0.0001,16,0.75,0.2,2,full,35359872,-1.00,+0.00,-1.00,-1.00,-1.00,-1.00,checkpoints/evan_eurosat_stage0_rgb_20260121_025639.pt,checkpoints/evan_eurosat_shot_20260121_134400.pt
rgb,vre,shot,0.0001,64,0.75,0.4,16,full,35359872,97.96,+0.13,97.83,97.94,85.00,85.85,checkpoints/evan_eurosat_stage0_rgb_20260121_025639.pt,checkpoints/evan_eurosat_shot_20260121_142854.pt
rgb,vre,shot,0.0001,64,0.75,0.4,16,full,35359872,97.43,+0.19,97.24,97.69,87.54,88.15,checkpoints/evan_eurosat_stage0_rgb_20260121_025639.pt,checkpoints/presetA.pt
