starting_modality,new_modality,ssl_lr,epochs,mask_ratio,modality_dropout,trainable_params,active_losses,transfer_acc,peeking_acc,addition_acc,addition_ens_acc,stage0_checkpoint,shote2e_checkpoint
rgb,nir,0.0001,128,0.75,0.4,47172628,prefusion+distill,72.63,85.74,85.87,89.44,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_nir.pt
nir,swir,0.0001,128,0.75,0.4,46975764,prefusion+distill,73.22,76.54,64.22,80.63,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_swir.pt
rgb,swir,0.0001,128,0.75,0.4,47172628,prefusion+distill,81.96,86.17,79.98,89.80,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_swir.pt
nir,vre,0.0001,128,0.75,0.4,47172628,prefusion+distill,74.44,76.70,65.09,77.15,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_vre.pt
nir,swir,0.0001,128,0.75,0.4,46975764,prefusion+distill+mae,76.09,77.52,59.72,82.04,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_swir.pt
rgb,vre,0.0001,128,0.75,0.4,47369492,prefusion+distill,83.96,87.98,78.17,90.41,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_vre.pt
nir,rgb,0.0001,128,0.75,0.4,47172628,prefusion+distill,76.07,76.80,59.65,81.46,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_rgb.pt
rgb,swir,0.0001,128,0.75,0.4,47172628,prefusion+distill+mae,81.04,86.07,76.56,89.81,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_swir.pt
rgb,nir,0.0001,128,0.75,0.4,47172628,prefusion+distill+mae,75.06,86.35,86.50,90.17,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_nir.pt
rgb,vre,0.0001,128,0.75,0.4,47369492,prefusion+distill+mae,83.96,87.33,78.61,90.00,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_vre.pt
nir,vre,0.0001,128,0.75,0.4,47172628,prefusion+distill+mae,75.06,76.28,65.11,77.94,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_vre.pt
nir,rgb,0.0001,128,0.75,0.4,47172628,prefusion+distill+mae,76.46,76.11,60.31,82.41,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_rgb.pt
rgb,vre,0.0001,128,0.75,0.4,47369492,prefusion+distill+mae+latent,84.00,87.26,78.39,89.72,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_vre.pt
nir,vre,0.0001,128,0.75,0.4,47172628,prefusion+distill+mae+latent,75.00,77.52,63.91,77.93,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_vre.pt
nir,swir,0.0001,128,0.75,0.4,46975764,prefusion+distill+mae+latent,77.96,77.52,62.35,82.52,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_swir.pt
nir,rgb,0.0001,128,0.75,0.4,47172628,prefusion+distill+mae+latent,77.67,77.35,62.63,82.46,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_rgb.pt
rgb,vre,0.0001,128,0.75,0.4,47369492,prefusion+distill+ce,81.87,86.91,80.00,89.44,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_vre.pt
rgb,nir,0.0001,128,0.75,0.4,47172628,prefusion+distill+ce,74.78,84.56,86.35,89.87,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_nir.pt
rgb,swir,0.0001,128,0.75,0.4,47172628,prefusion+distill+mae+latent,82.67,87.96,74.07,90.44,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_swir.pt
rgb,nir,0.0001,128,0.75,0.4,47172628,prefusion+distill+mae+latent,74.76,87.80,88.11,90.22,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_nir.pt
nir,rgb,0.0001,128,0.75,0.4,47172628,prefusion+distill+ce,77.15,76.54,57.87,83.83,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_rgb.pt
nir,vre,0.0001,128,0.75,0.4,47172628,prefusion+distill+ce,77.15,75.61,70.41,78.78,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_vre.pt
rgb,swir,0.0001,128,0.75,0.4,47369492,prefusion+distill+ce,81.11,86.26,82.30,88.94,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_swir.pt
nir,swir,0.0001,128,0.75,0.4,47172628,prefusion+distill+ce,75.89,76.30,67.04,81.44,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_swir.pt
rgb,nir,0.0001,128,0.75,0.4,47172628,prefusion+distill+ce+mae,75.46,86.28,87.44,89.54,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_nir.pt
nir,vre,0.0001,128,0.75,0.4,47172628,prefusion+distill+ce+mae,76.67,76.94,71.13,79.48,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_vre.pt
nir,swir,0.0001,128,0.75,0.4,47172628,prefusion+distill+ce+mae,76.06,76.37,62.54,81.48,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_swir.pt
nir,rgb,0.0001,128,0.75,0.4,47172628,prefusion+distill+ce+mae,77.09,76.11,57.46,83.44,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_rgb.pt
rgb,vre,0.0001,128,0.75,0.4,47369492,prefusion+distill+ce+mae,83.28,86.93,81.93,89.13,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_vre.pt
rgb,swir,0.0001,128,0.75,0.4,47369492,prefusion+distill+ce+mae,82.24,87.26,82.89,89.63,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_swir.pt
rgb,nir,0.0001,128,0.75,0.4,47172628,prefusion+distill+ce+mae+latent,74.81,88.24,87.57,89.52,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_nir.pt
rgb,swir,0.0001,128,0.75,0.4,47369492,prefusion+distill+ce+mae+latent,83.98,87.72,79.72,90.13,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_swir.pt
nir,vre,0.0001,128,0.75,0.4,47172628,prefusion+distill+ce+mae+latent,76.44,76.96,63.54,78.78,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_vre.pt
nir,swir,0.0001,128,0.75,0.4,47172628,prefusion+distill+ce+mae+latent,74.87,76.46,67.67,80.83,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_swir.pt
rgb,vre,0.0001,128,0.75,0.4,47369492,prefusion+distill+ce+mae+latent,85.33,87.78,79.43,89.80,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_vre.pt
nir,rgb,0.0001,128,0.75,0.4,47172628,prefusion+distill+ce+mae+latent,77.28,77.37,59.30,82.59,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_rgb.pt
